Customer Id,Subscription Id,Invoice Id,Invoice Date,Start Date,Amount,Status,Paid On,Next Retry,Refunded Amount,Recurring,First Invoice,Customer Details,Tax Total
2uENY2ytPEiGCuKJkO,2uENY2ytPEiGCuKJkO,7062,42160,42160,900,Payment Due,,,0,TRUE,TRUE,"{""Company"":"""",""Email"":"""",""First Name"":"""",""Last Name"":""""}",0
1mqYqruPCRsr6EEhR,,7060,42150,42150,1200,Payment Due,,,0,FALSE,FALSE,"{""Company"":"""",""Email"":"""",""First Name"":"""",""Last Name"":""""}",0
1mqYqp8P7vGR0b8Ww,1mqYqp8P7vGR0b8Ww,draft_inv_2uENY31gPDfwZyZGw,42149,42119,2000,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":""john@user.com"",""First Name"":""John"",""Last Name"":""Wayne""}",0
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,draft_inv_2uENY31gPDfw4nxFh,42149,42121,2900,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":""asdfa@asd.com"",""First Name"":""asda"",""Last Name"":""asd""}",0
test_sub2,test_sub2,draft_inv_2slhRVZTPDfr7xK2Z,42149,42119,1000,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":"""",""First Name"":""John"",""Last Name"":""Doe""}",0
test_sub,test_sub,draft_inv_2uENY31gPDfr0ZeA5,42149,42119,1000,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":"""",""First Name"":""John"",""Last Name"":""Doe""}",0
2uENY34LP7v8aYs8di,2uENY34LP7vA8698fV,draft_inv_HpvtAY1PDfqC5B1Z,42149,42119,1000,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":""john@test.com"",""First Name"":""John"",""Last Name"":""Doe""}",0
cbdemo_XpbGA4wP6d1LnOC,cbdemo_XpbGA4wP6d1LnOC,draft_inv_1mqYqnaPDflh3K1,42149,42119,0,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":""jon@cbacme.com"",""First Name"":""Jon"",""Last Name"":""M""}",0
2uENY34fPA5FDA5NCA,2uENY30FPAZjzQaToC,7059,42146,42116,19800,Payment Due,,,0,TRUE,TRUE,"{""Company"":"""",""Email"":"""",""First Name"":"""",""Last Name"":""""}",0
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7058,42143,42143,1100,Payment Due,,,0,FALSE,TRUE,"{""Company"":"""",""Email"":"""",""First Name"":"""",""Last Name"":""""}",0
